0.9999999771824299 * EXP(MIN(x, x, x))																																																			
x	y-expected	y-calculated	difference	difference^2																																															
-50	1,92874984796392E-022	1,92874980395453E-022	4,40093868380769E-030	1,9368261298635E-059																																															
-49	5,24288566336346E-022	5,24288554373355E-022	1,19629906798721E-029	1,43113146006706E-058																																															
-48	1,42516408274094E-021	1,42516405022215E-021	3,2518786195498E-029	1,05747145562851E-057																																															
-47	3,87399762868719E-021	3,87399754029197E-021	8,83952153976543E-029	7,81371410519771E-057																																															
-46	1,05306173575538E-020	1,05306171172707E-020	2,40283086884126E-028	5,77359618425646E-056																																															
-45	2,86251858054939E-020	2,86251851523367E-020	6,53157148926379E-028	4,26614261193636E-055																																															
-44	7,7811322411338E-020	7,78113206358727E-020	1,77546533136808E-027	3,15227714288998E-054																																															
-43	2,11513103759108E-019	2,11513098932893E-019	4,82621500325219E-027	2,32923512576165E-053																																															
-42	5,74952226429356E-019	5,74952213310343E-019	1,31190127136185E-026	1,72108494580085E-052																																															
-41	1,56288218933499E-018	1,56288215367382E-018	3,56611750146061E-026	1,27171940342237E-051																																															
-40	4,24835425529159E-018	4,24835415835447E-018	9,69371216078793E-026	9,39680554562077E-051																																															
-39	1,15482241730158E-017	1,15482239095134E-017	2,63502428554533E-025	6,94335298541368E-050																																															
-38	3,13913279204803E-017	3,13913272042065E-017	7,16273832049246E-025	5,13048202478511E-049																																															
-37	8,53304762574406E-017	8,53304743104065E-017	1,94703405668773E-024	3,79094161790186E-048																																															
-36	2,31952283024357E-016	2,31952277731769E-016	5,29258757207394E-024	2,80114832080715E-047																																															
-35	6,30511676014699E-016	6,30511661627955E-016	1,43867444599612E-023	2,06978416156225E-046																																															
-34	1,71390843154201E-015	1,71390839243479E-015	3,9107222834963E-023	1,52937487786345E-045																																															
-33	4,6588861451034E-015	4,65888603879894E-015	1,06304463529413E-022	1,13006389662762E-044																																															
-32	1,26641655490942E-014	1,26641652601287E-014	2,88965509844787E-022	8,35010658798574E-044																																															
-31	3,44247710846998E-014	3,44247702992101E-014	7,85489654500008E-022	6,16993997326542E-043																																															
-30	9,35762296884018E-014	9,35762275532196E-014	2,13518222096269E-021	4,55900311671517E-042																																															
-29	2,54366564737692E-013	2,54366558933665E-013	5,80402666687126E-021	3,36867255497527E-041																																															
-28	6,9144001069402E-013	6,91439994917039E-013	1,57769806131116E-020	2,48913117266498E-040																																															
-27	1,87952881653908E-012	1,8795287736528E-012	4,2886277053166E-020	1,83923275948091E-039																																															
-26	5,10908902806333E-012	5,10908891148633E-012	1,16577001648083E-019	1,35901973132572E-038																																															
-25	1,3887943864964E-011	1,38879435480749E-011	3,16889110579584E-019	1,0041870840392E-037																																															
-24	3,7751345442791E-011	3,7751344581397E-011	8,613939982227E-019	7,41999620174089E-037																																															
-23	1,02618796317019E-010	1,02618793975507E-010	2,34151167585895E-018	5,48267692818377E-036																																															
-22	2,78946809286892E-010	2,78946802922004E-010	6,36488789275164E-018	4,05117978872964E-035																																															
-21	7,58256042791191E-010	7,5825602548963E-010	1,73015606380775E-017	2,99344000513071E-034																																															
-20	2,06115362243856E-009	2,06115357540804E-009	4,70305192241855E-017	2,21186973849648E-033																																															
-19	5,60279643753727E-009	5,60279630969507E-009	1,27842202964336E-016	1,63436288587746E-032																																															
-18	1,52299797447126E-008	1,52299793972015E-008	3,47511098848001E-016	1,20763963822545E-031																																															
-17	4,13993771878517E-008	4,13993762432185E-008	9,44633225191629E-016	8,92331930135938E-031																																															
-16	1,12535174719259E-007	1,1253517215148E-007	2,56777910905199E-015	6,59348955288383E-030																																															
-15	3,05902320501826E-007	3,05902313521878E-007	6,97994784385519E-015	4,87196719029387E-029																																															
-14	8,31528719103568E-007	8,31528700130103E-007	1,89734648560255E-014	3,59992368642835E-028																																															
-13	2,26032940698105E-006	2,26032935540583E-006	5,15752203653617E-014	2,66000335573562E-027																																															
-12	6,14421235332821E-006	6,14421221313221E-006	1,40195995885031E-013	1,96549172621956E-026																																															
-11	1,67017007902457E-005	1,67017004091534E-005	3,81092269422173E-013	1,45231317813342E-025																																															
-10	4,53999297624849E-005	4,53999287265688E-005	1,0359161242029E-012	1,07312221638356E-024																																															
-9	0,0001234098	0,0001234098	1,27076772498888E-012	1,61485061087342E-024																																															
-8	0,0003354626	0,0003354626	2,02480698223775E-011	4,09984331531876E-022																																															
-7	0,000911882	0,0009118819	5,52524144058902E-011	3,05282929768023E-021																																															
-6	0,0024787522	0,0024787521	7,98927430288587E-011	6,38285038867526E-021																																															
-5	0,006737947	0,0067379468	1,54658110970707E-010	2,39191312890275E-020																																															
-4	0,0183156389	0,0183156385	4,29184195127608E-010	1,84199073347332E-019																																															
-3	0,0497870684	0,0497870672	1,16815597472897E-009	1,36458838129499E-018																																															
-2	0,1353352832	0,1353352801	3,05140959722117E-009	9,31110053001344E-018																																															
-1	0,3678794412	0,3678794328	8,42267255940499E-009	7,09414130429538E-017																																															
0	1	0,9999999772	2,28175700556221E-008	5,20641503243224E-016																																															
1	2,7182818285	2,7182817664	6,20655407068682E-008	3,85213134323591E-015																																															
2	7,3890560989	7,3890559303	1,68569655123463E-007	2,84157286284432E-014																																															
3	20,0855369232	20,0855364649	4,58315476237203E-007	2,10053075758534E-013																																															
4	54,5981500331	54,5981487873	1,24575287685502E-006	1,55190023019256E-012																																															
5	148,4131591026	148,4131557161	3,38645105557589E-006	1,14680507518111E-011																																															
6	403,4287934927	403,4287842875	9,20522961678216E-006	8,47362522976835E-011																																															
7	1096,6331584285	1096,633133406	2,50225455147302E-005	6,26127784036742E-010																																															
8	2980,9579870417	2980,9579190235	6,8018189722352E-005	4,62647413310587E-009																																															
9	8103,0839275754	8103,0837426827	0,0001848927	3,41853106676936E-008																																															
10	22026,4657948067	22026,4652922163	0,0005025904	2,52597116746594E-007																																															
11	59874,1417151978	59874,1403490154	0,0013661824	1,86645436382979E-006																																															
12	162754,791419004	162754,787705335	0,0037136689	1,379133696052E-005																																															
13	442413,392008921	442413,381914122	0,0100947991	0,000101905																																															
14	1202604,28416478	1202604,25672427	0,0274405107	0,0007529816																																															
15	3269017,37247211	3269017,29788108	0,0745910322	0,0055638221																																															
16	8886110,52050787	8886110,31774842	0,2027594466	0,0411113932																																															
17	24154952,7535753	24154952,202418	0,5511573255	0,3037743975																																															
18	65659969,1373305	65659967,6391296	1,4982009381	2,2446060509																																															
19	178482300,963187	178482296,890655	4,072532177	16,5855183325																																															
20	485165195,40979	485165184,339499	11,0702905655	122,5513332044																																															
21	1318815734,48321	1318815704,39104	30,092165947	905,5384513794																																															
22	3584912846,13159	3584912764,33259	81,798997879	6691,0760540133																																															
23	9744803446,2489	9744803223,89617	222,3527317047	49440,7372965476																																															
24	26489122129,8435	26489121525,4261	604,417427063	365320,426137443																																															
25	72004899337,3859	72004897694,409	1642,976852417	2699372,93757805																																															
26	195729609428,839	195729604962,765	4466,0742797852	19945819,4725585																																															
27	532048240601,799	532048228461,751	12140,0483398438	147380773,693743																																															
28	1446257064291,48	1446257031291,4	33000,0766601562	1089005059,57619																																															
29	3931334297144,04	3931334207440,55	89703,4936523438	8046716773,43607																																															
30	10686474581524,5	10686474337685,1	243839,419921875	59457662707,8365																																															
31	29048849665247,4	29048849002423,3	662824,13671875	439335836216,956																																															
32	78962960182680,7	78962958380937,8	1801742,890625	3246277443917,73																																															
33	214643579785916	214643574888271	4897644,84375	23986925015511																																															
34	583461742527455	583461729214276	13313179,25	177240741742631																																															
35	1586013452313430	1586013416124460	36188972,25	1309641712511270																																															
36	4311231547115200	4311231448743370	98371833	9677017527779890																																															
37	11719142372802600	11719142105400300	267402340	71504011437475600																																															
38	31855931757113800	31855931030238800	726875000	528347265625000000																																															
39	86593400423993800	86593398448142800	1975851024	3903987269041850000																																															
40	235385266837020000	235385261466100000	5370919808	28846779583966800000																																															
41	639843493530055000	639843478930381000	14599673856	213150476701570000000																																															
42	1739274941520500000	1739274901834470000	39686026752	1574980719360460000000																																															
43	4727839468229350000	4727839360351540000	107877812224	11637622370236600000000																																															
44	12851600114359300000	12851599821117000000	293242277888	85991033540943000000000																																															
45	34934271057485100000	34934270260369900000	797115183104	635392615134923000000000																																															
46	94961194206024500000	94961192039240800000	2166783721472	4694951695636050000000000																																															
47	258131288619007000000	258131282729078000000	5889928986624	34691263467473600000000000																																															
48	701673591209763000000	701673575199277000000	16010486218752	256335668960848000000000000																																															
49	1907346572495100000000	1907346528974090000000	43521014235136	1894078680054910000000000000																																															
50	5184705528587070000000	5184705410284690000000	118302379606016	13995453020445900000000000000																																															
SUM			118302379606016	13995453020445900000000000000																																															
AVG			1171310689168,48	138568841786593000000000000																																															
																																																			
																																																			
generation	50	49	48	47	46	45	44	43	42	41	40	39	38	37	36	35	34	33	32	31	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	8	7	6	5	4	3	2	1	0
best	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	640545885258893000000000000000000	5584276183770120000000000000000000	5584276183770120000000000000000000	5584276183770120000000000000000000	5584276183770120000000000000000000	13622422776449600000000000000000000	13622422776449600000000000000000000	20211318905765700000000000000000000	20211318905765700000000000000000000	20211318905765700000000000000000000	39335026841663800000000000000000000	39335026841663800000000000000000000	45109888687351400000000000000000000	45109888687351400000000000000000000	45109888687351400000000000000000000	45109888687351400000000000000000000	51740763669115600000000000000000000	70510229151426800000000000000000000	2229621732425480000000000000000000000	2229621732425480000000000000000000000	2802866290665730000000000000000000000	2802866290665730000000000000000000000	4636108961301950000000000000000000000000
avg	160257311162266000000000000	160257311162266000000000000	160257311162266000000000000	7385899681398630000000000000000	125557730466798000000000000000000	190974279651573000000000000000000	206800864131760000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	211021286659810000000000000000000	260416615498705000000000000000000	490212275749215000000000000000000	591150556419999000000000000000000	627660147300922000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	640545885258894000000000000000000	2593319353170830000000000000000000	4768560684515770000000000000000000	5386526971829680000000000000000000	5664657649696920000000000000000000	9322014349366090000000000000000000	15323061336763600000000000000000000	18484386097951700000000000000000000	19914818579946500000000000000000000	20557633681576800000000000000000000	31111832429227700000000000000000000	37442534745308400000000000000000000	42350725559907500000000000000000000	44445779575097500000000000000000000	44965517141209300000000000000000000	46568681183339600000000000000000000	53185622525570800000000000000000000	64956389442200400000000000000000000	355801061356082000000000000000000000	1679016669376000000000000000000000000	2508292652276250000000000000000000000	2762739171588900000000000000000000000	399813112434775000000000000000000000000	128814793123953000000000000000000000000000	267256044674108000000000000000000000000000	3552916717697180000000000000000000000000000000000000000000000000000000000000000000
