0.08063622901201206 * ABS(SUM(-3.614901280094738, -2.6228065660153827E-4, 41.39634138733079, 0.0023654439684199606, -5.3220773307700995, x, -0.015315425923441546))																																																			
x	y-expected	y-calculated	difference	difference^2																																															
0	0	2,6163352234	2,6163352234	6,8452100012																																															
1	1	2,6969714524	1,6969714524	2,8797121103																																															
2	1,4142135624	2,7776076814	1,363394119	1,8588435238																																															
3	1,7320508076	2,8582439104	1,1261931028	1,2683109049																																															
4	2	2,9388801394	0,9388801394	0,8814959162																																															
5	2,2360679775	3,0195163685	0,783448391	0,6137913813																																															
6	2,4494897428	3,1001525975	0,6506628547	0,4233621504																																															
7	2,6457513111	3,1807888265	0,5350375154	0,2862651429																																															
8	2,8284271247	3,2614250555	0,4329979308	0,1874872081																																															
9	3	3,3420612845	0,3420612845	0,1170059224																																															
10	3,1622776602	3,4226975135	0,2604198533	0,0678185																																															
11	3,3166247904	3,5033337425	0,1867089521	0,0348602328																																															
12	3,4641016151	3,5839699715	0,1198683564	0,0143684229																																															
13	3,6055512755	3,6646062005	0,059054925	0,0034874842																																															
14	3,7416573868	3,7452424296	0,0035850428	1,2852531602069E-005																																															
15	3,8729833462	3,8258786586	0,0471046876	0,0022188516																																															
16	4	3,9065148876	0,0934851124	0,0087394662																																															
17	4,1231056256	3,9871511166	0,135954509	0,0184836285																																															
18	4,2426406871	4,0677873456	0,1748533415	0,030573691																																															
19	4,3588989435	4,1484235746	0,2104753689	0,0442998809																																															
20	4,472135955	4,2290598036	0,2430761514	0,0590860154																																															
21	4,582575695	4,3096960326	0,2728796624	0,0744633101																																															
22	4,6904157598	4,3903322617	0,3000834981	0,0900501059																																															
23	4,7958315233	4,4709684907	0,3248630326	0,10553599																																															
24	4,8989794856	4,5516047197	0,3473747659	0,120669228																																															
25	5	4,6322409487	0,3677590513	0,1352467198																																															
26	5,0990195136	4,7128771777	0,3861423359	0,1491059036																																															
27	5,1961524227	4,7935134067	0,402639016	0,1621181772																																															
28	5,2915026221	4,8741496357	0,4173529864	0,1741835152																																															
29	5,3851648071	4,9547858647	0,4303789424	0,185226034																																															
30	5,4772255751	5,0354220938	0,4418034813	0,1951903161																																															
31	5,5677643628	5,1160583228	0,45170604	0,2040383466																																															
32	5,6568542495	5,1966945518	0,4601596977	0,2117469474																																															
33	5,7445626465	5,2773307808	0,4672318657	0,2183056163																																															
34	5,8309518948	5,3579670098	0,472984885	0,2237147014																																															
35	5,9160797831	5,4386032388	0,4774765443	0,2279838503																																															
36	6	5,5192394678	0,4807605322	0,2311306893																																															
37	6,0827625303	5,5998756968	0,4828868335	0,2331796939																																															
38	6,164414003	5,6805119258	0,4839020772	0,2341612203																																															
39	6,2449979984	5,7611481549	0,4838498435	0,2341106711																																															
40	6,3245553203	5,8417843839	0,4827709364	0,2330677771																																															
41	6,4031242374	5,9224206129	0,4807036245	0,2310759746																																															
42	6,4807406984	6,0030568419	0,4776838565	0,2281818668																																															
43	6,5574385243	6,0836930709	0,4737454534	0,2244347546																																															
44	6,6332495807	6,1643292999	0,4689202808	0,2198862297																																															
45	6,7082039325	6,2449655289	0,4632384036	0,2145898185																																															
46	6,7823299831	6,3256017579	0,4567282252	0,2086006717																																															
47	6,8556546004	6,406237987	0,4494166134	0,2019752924																																															
48	6,9282032303	6,486874216	0,4413290143	0,1947712989																																															
49	7	6,567510445	0,432489555	0,1870472152																																															
50	7,0710678119	6,648146674	0,4229211379	0,1788622889																																															
51	7,1414284285	6,728782903	0,4126455255	0,1702763297																																															
52	7,2111025509	6,809419132	0,4016834189	0,161349569																																															
53	7,2801098893	6,890055361	0,3900545283	0,152142535																																															
54	7,3484692283	6,97069159	0,3777776383	0,142715944																																															
55	7,4161984871	7,0513278191	0,364870668	0,1331306044																																															
56	7,4833147735	7,1319640481	0,3513507254	0,1234473323																																															
57	7,5498344353	7,2126002771	0,3372341582	0,1137268775																																															
58	7,6157731059	7,2932365061	0,3225365998	0,1040298582																																															
59	7,6811457479	7,3738727351	0,3072730128	0,0944167044																																															
60	7,7459666924	7,4545089641	0,2914577283	0,0849476074																																															
61	7,8102496759	7,5351451931	0,2751044828	0,0756824764																																															
62	7,874007874	7,6157814221	0,2582264519	0,0666809004																																															
63	7,9372539332	7,6964176512	0,240836282	0,0580021148																																															
64	8	7,7770538802	0,2229461198	0,0497049724																																															
65	8,0622577483	7,8576901092	0,2045676391	0,041847919																																															
66	8,1240384046	7,9383263382	0,1857120664	0,0344889716																																															
