x	exp(x)	0,9999999771824299 * EXP(x)	diff	Diff^2
-10	4,53999297624849E-005	4,53999287265688E-005	1,03591607676905E-012	1,07312211810859E-024
-9,9	5,01746820561753E-005	5,0174680911311E-005	1,1448643208044E-012	1,31071431305091E-024
-9,8	5,54515994321769E-005	5,54515981669062E-005	1,26527075221174E-012	1,60091007640247E-024
-9,7	6,1283495053222E-005	6,12834936548816E-005	1,39834044137702E-012	1,95535598999049E-024
-9,6	6,77287364908538E-005	6,77287349454486E-005	1,5454051883676E-012	2,38827719623349E-024
-9,5	7,48518298877005E-005	7,48518281797636E-005	1,70793687894778E-012	2,91704838246989E-024
-9,4	8,27240655566321E-005	8,27240636690699E-005	1,88756215518948E-012	3,56289088970356E-024
-9,3	9,14242314781731E-005	9,14242293920943E-005	2,08607880047753E-012	4,35172476180177E-024
-9,2	0,0001010394	0,0001010394	2,30547362884553E-012	5,31520865330219E-024
-9,1	0,0001116658	0,0001116658	2,54794240719079E-012	6,49201051036121E-024
-9	0,0001234098	0,0001234098	2,81591183747335E-012	7,92935947642251E-024
-8,9	0,0001363889	0,0001363889	3,11206388350221E-012	9,68494161499888E-024
-8,8	0,0001507331	0,0001507331	3,43936251007149E-012	1,18292144756852E-023
-8,7	0,0001665858	0,0001665858	3,80108341720489E-012	1,444823514455E-023
-8,6	0,0001841058	0,0001841058	4,20084683727152E-012	1,76471141502142E-023
-8,5	0,0002034684	0,0002034684	4,64265377444345E-012	2,1554234069354E-023
-8,4	0,0002248673	0,0002248673	5,13092593044072E-012	2,6326400903669E-023
-8,3	0,0002485168	0,0002485168	5,67055012971537E-012	3,2155138773615E-023
-8,2	0,0002746536	0,0002746536	6,26692708144416E-012	3,92743750441382E-023
-8,1	0,0003035391	0,0003035391	6,92602556253211E-012	4,79698300928482E-023
-8	0,0003354626	0,0003354626	7,65444202162693E-012	5,85904826624482E-023
-7,9	0,0003707435	0,0003707435	8,45946668834655E-012	7,15625766512449E-023
-7,8	0,000409735	0,000409735	9,34915659429533E-012	8,74067290246559E-023
-7,7	0,0004528272	0,0004528272	1,03324159666553E-011	1,06758819707993E-022
-7,6	0,0005004514	0,0005004514	1,1419085620655E-011	1,3039551641185E-022
-7,5	0,0005530844	0,0005530844	1,26200414051272E-011	1,59265445067126E-022
-7,4	0,0006112528	0,0006112527	1,3947302731146E-011	1,94527253474232E-022
-7,3	0,0006755388	0,0006755388	1,54141533521487E-011	2,37596123563558E-022
-7,2	0,0007465858	0,0007465858	1,70352740160723E-011	2,90200560802668E-022
-7,1	0,0008251049	0,0008251049	1,8826889374747E-011	3,54451763528962E-022
-7	0,000911882	0,0009118819	2,08069306142228E-011	4,32928361585081E-022
-6,9	0,0010077854	0,0010077854	2,29952146733881E-011	5,28779897875201E-022
-6,8	0,0011137751	0,0011137751	2,54136425445473E-011	6,45853227382022E-022
-6,7	0,0012309119	0,0012309119	2,80864186075203E-011	7,8884691019686E-022
-6,6	0,001360368	0,001360368	3,10402929488279E-011	9,63499786349057E-022
-6,5	0,0015034392	0,0015034392	3,43048291596287E-011	1,17682130367131E-021
-6,4	0,0016615573	0,0016615572	3,79126994555501E-011	1,43737278000687E-021
-6,3	0,0018363048	0,0018363047	4,19000129731062E-011	1,75561108714647E-021
-6,2	0,0020294306	0,0020294306	4,63066755079788E-011	2,14430819660125E-021
-6,1	0,0022428677	0,0022428677	5,11767911035022E-011	2,6190639476515E-021
-6	0,0024787522	0,0024787521	5,65591015862232E-011	3,19893197224072E-021
-5,9	0,0027394448	0,0027394448	6,2507474023199E-011	3,9071843087609E-021
-5,8	0,0030275547	0,0030275547	6,90814423894015E-011	4,7722456826002E-021
-5,7	0,0033459655	0,0033459654	7,63468012768276E-011	5,8288340652034E-021
-5,6	0,0036978637	0,0036978636	8,4376264222058E-011	7,11935396407055E-021
-5,5	0,0040867714	0,0040867713	9,32501940248409E-011	8,69559868567048E-021
-5,4	0,0045165809	0,0045165808	1,03057402021933E-010	1,06208281115104E-020
-5,3	0,0049915939	0,0049915938	1,13896043638095E-010	1,29723087564109E-020
-5,2	0,0055165644	0,0055165643	1,25874595469089E-010	1,58444137845067E-020
-5,1	0,0060967466	0,0060967464	1,39112941652253E-010	1,93524105351431E-020
-5	0,006737947	0,0067379468	1,53743577764598E-010	2,3637087703859E-020
-4,9	0,0074465831	0,0074465829	1,69912930947369E-010	2,88704041031254E-020
-4,8	0,008229747	0,0082297469	1,87782829216832E-010	3,52623909486777E-020
-4,7	0,0090952771	0,0090952769	2,07532121695997E-010	4,30695815356421E-020
-4,6	0,0100518357	0,0100518355	2,29358466247165E-010	5,26053060392519E-020
-4,5	0,0111089965	0,0111089963	2,53480306189324E-010	6,42522656258336E-020
-4,4	0,0122773399	0,0122773396	2,80139062988627E-010	7,84778946121459E-020
-4,3	0,013568559	0,0135685587	3,09601545789295E-010	9,58531171551211E-020
-4,2	0,0149955768	0,0149955765	3,421626246225E-010	1,17075261688558E-019
-4,1	0,0165726754	0,016572675	3,78148182905713E-010	1,42996048234893E-019
-4	0,0183156389	0,0183156385	4,17918373518678E-010	1,74655766924497E-019
-3,9	0,0202419114	0,020241911	4,61871232232403E-010	2,13325035163878E-019
-3,8	0,0223707719	0,0223707713	5,10446653695373E-010	2,60555786268804E-019
-3,7	0,0247235265	0,0247235259	5,64130797631179E-010	3,18243556835991E-019
-3,6	0,0273237224	0,0273237218	6,23460949533694E-010	3,88703555593455E-019
-3,5	0,0301973834	0,0301973827	6,89030912187638E-010	4,74763597950129E-019
-3,4	0,03337327	0,0333732692	7,61496928014527E-010	5,79877571375561E-019
-3,3	0,0368831674	0,0368831666	8,41584253674643E-010	7,08264056033106E-019
-3,2	0,040762204	0,040762203	9,30094445905638E-010	8,65075678304516E-019
-3,1	0,0450492024	0,0450492014	0,000000001	1,05660581572306E-018
-3	0,0497870684	0,0497870672	1,13601991702517E-009	1,29054125187787E-018
-2,9	0,0550232201	0,0550232188	1,25549617924214E-009	1,57627065609162E-018
-2,8	0,0608100626	0,0608100612	1,3875378623851E-009	1,92526131955222E-018
-2,7	0,0672055127	0,0672055112	1,53346649267583E-009	2,3515194841595E-018
-2,6	0,0742735782	0,0742735765	1,69474256850322E-009	2,87215237349688E-018
-2,5	0,0820849986	0,0820849968	1,8729802014894E-009	3,50805483517129E-018
-2,4	0,0907179533	0,0907179512	2,069963256357E-009	4,28474788266807E-018
-2,3	0,1002588437	0,1002588414	2,2876631838864E-009	5,23340284290927E-018
-2,2	0,1108031584	0,1108031558	2,52825882451901E-009	6,39209268375827E-018
-2,1	0,1224564283	0,1224564255	2,79415812709516E-009	7,80731963921193E-018
-2	0,1353352832	0,1353352801	3,08802231008265E-009	9,53588178756818E-018
