currentDataSet	currentTime	freeRadicalsFactor	tourneySize	initialTemp	minTemp	minDepth	minInitialWidth	maxInitialWidth	earlyLeafProb	constProb	maxAvgForResult	popSize	maxGen	initCp	stepCp	initMp	stepMp	eval	duration	foo
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	300	10	160257311162266000000000000	9 minutes, 36,704 seconds	0,9999999771824299 * EXP(MIN(x, x, x))
exp,csv	0	0,15	3	100	1	3	2	10	600	400	10000	100	50	800	10	300	10	410469640200541000000000000000	4 minutes, 32,925 seconds	0,9999988452154067 * ABS(EXP(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	100	50	600	10	300	10	579718097117936000000000000000	4 minutes, 41,301 seconds	0,041582396224990756 * DIV(EXP(x), ABS(0,04158233915894165))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	10	300	50	1359418930223220000000000000000	30 minutes, 5,030 seconds	1,00000210153737 * EXP(MAX(x, x, x, x, x, x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	800	50	300	10	4202778956212140000000000000000	18 minutes, 45,576 seconds	1,0000036951216016 * MAX(ABS(x), EXP(x), EXP(-4,2441696911657475E48))
exp,csv	1	0,15	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	4843397142204530000000000000000	7 minutes, 56,863 seconds	0,9999960332438733 * EXP(MAX(x, x, x, -1,834609664578333E44, x, x, x, x, x))
exp,csv	0	0,15	5	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	5075414392102150000000000000000	12 minutes, 36,401 seconds	1,0000041048682045 * SUBTRACT(EXP(x), 3,5664108425294695E-11, LESS_THAN(-1,6230107313328238E-21, x), MAX(x, x, x, 3,278348824387355E14, -3,0014966007601583E8, x, 2193025,0685738036), SUBTRACT(x, x, x, -5,612225800432084E12), x, x)
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	800	10	300	10	6790319524334370000000000000000	11 minutes, 32,247 seconds	0,9999953031621627 * MAX(EXP(x), SIGN(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	200	10000	100	50	800	10	300	10	6924105310866530000000000000000	4 minutes, 3,878 seconds	-1,0000047428817052 * SUBTRACT(x, EXP(x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000	200	50	800	10	300	10	7789083162515930000000000000000	6 minutes, 29,784 seconds	1,0000050304128671 * EXP(MAX(x, x, x, x))
exp,csv	2	0,05	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	14838830086032300000000000000000	5 minutes, 18,771 seconds	-1,0158444372115993 * PRODUCT(EXP(x), SIN(-1,7476855171640446))
exp,csv	0	0,15	3	100	1	3	2	10	400	200	10000	100	50	800	10	300	10	22476466454246600000000000000000	12 minutes, 14,287 seconds	1,000008545244211 * MAX(SQRT(x), SIGN(x), x, LESS_THAN(x, x), DIV(x, x), MAX(x, x, x, x, x), EXP(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	800	50	300	10	34645310952174400000000000000000	9 minutes, 37,588 seconds	1,0000106092013614 * ABS(EXP(x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	50	300	10	34816882443502700000000000000000	10 minutes, 31,250 seconds	0,999989364561487 * EXP(MIN(x, x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	800	10	300	10	41836062791526100000000000000000	12 minutes, 30,396 seconds	0,9999883416829021 * MAX(MAX(x, x, x), x, EXP(x))
exp,csv	1	0,15	3	100	1	3	3	5	400	400	10000	100	50	800	10	300	10	46599873587483000000000000000000	4 minutes, 47,807 seconds	0,9999876958156375 * EXP(MAX(x, x, x))
exp,csv	0	0,15	3	100	1	3	2	10	400	400	10000000000000000000000000000000000000000	200	50	600	50	300	10	54017702063968400000000000000000	10 minutes, 38,867 seconds	1,0000132473348229 * SUBTRACT(EXP(x), x)
exp,csv	0	0,15	3	1000	10	3	2	10	400	400	10000	100	50	800	10	300	10	55881406511253500000000000000000	5 minutes, 4,643 seconds	1,0000134739249762 * EXP(MAX(x, x, x))
exp,csv	1	1	2	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	75894413005287100000000000000000	4 minutes, 38,666 seconds	0,9999842976243176 * MAX(SQRT(x), EXP(x), SQRT(x))
exp,csv	1	0,05	5	100	1	3	2	10	400	400	10000	100	50	800	10	300	10	95493855742125700000000000000000	8 minutes, 1,287 seconds	0,9999823863981456 * EXP(MAX(-682,019944745639, x, x, x, x, x))
exp,csv	1	0,15	3	100	1	3	2	10	400	400	10000	100	50	800	10	300	50	107332488718822000000000000000000	5 minutes, 56,515 seconds	0,9999811231700093 * SUM(ABS(-8,095313987147856E13), 1,4520256355233805E15, EXP(x))
