x;y
1;0.5403023059
2;0.277000344
3;0.1086197921
4;0.7326507403
5;1.8931000979
6;2.7519297559
7;2.6998124034
8;1.9339415079
9;1.2860943155
10;1.4635135639
11;2.4023209708
12;3.3287606085
13;3.4723961389
14;2.7757945478
15;1.9483622882
16;1.8149292419
17;2.558050006
18;3.5506884661
19;3.9331435974
20;3.4038143354
21;2.4967931775
22;2.091081627
23;2.6026611956
24;3.6022328377
25;4.2100786367
26;3.9050158604
27;3.0036980573
28;2.3695986439
29;2.6192383003
30;3.5554488315
31;4.3487295623
32;4.2999592633
33;3.4832308142
34;2.6777902498
35;2.6516558564
36;3.4555552488
37;4.3763319646
38;4.5926598038
39;3.9302045785
40;3.0219413925
41;2.7262327892
42;3.3376843033
43;4.3163134172
44;4.7840329426
45;4.3319844786
46;3.3964634516
47;2.8578121326
48;3.2310566714
49;4.1924128419
50;4.8769890339
51;4.6739798295
52;3.7882529378
53;3.0520091273
54;3.1596742137
55;4.0294599415
56;4.8785717985
57;4.9429180948
58;4.179623146
59;3.3064572209
60;3.1419315818
61;3.8527722282
62;4.8006415474
63;5.129031308
64;4.5507403138
65;3.6119334187
66;3.1900072861
67;3.6869228196
68;4.6596507277
69;5.2274968843
70;4.8818144451
71;3.9536571489
72;3.3094155307
73;3.5542667229
74;4.475782435
75;5.2392393833
76;5.1550646714
77;4.3128303901
78;3.4989057334
79;3.4734769057
80;4.2716393908
81;5.1711351367
82;5.3563969451
83;4.6683807258
84;3.7507933033
85;3.4582746131
86;4.0706488513
87;5.0356584529
88;5.4767100982
89;4.9988134147
90;4.0517360542
91;3.5164920456
92;3.8953441291
93;4.8500281947
94;5.5127541489
95;5.2840504526
96;4.3839177422
97;3.6495634419
98;3.7656792334
99;4.6349407305
100;5.4674890583
101;5.5071253866
