x;y
-50;2450
-49;2352
-48;2256
-47;2162
-46;2070
-45;1980
-44;1892
-43;1806
-42;1722
-41;1640
-40;1560
-39;1482
-38;1406
-37;1332
-36;1260
-35;1190
-34;1122
-33;1056
-32;992
-31;930
-30;870
-29;812
-28;756
-27;702
-26;650
-25;600
-24;552
-23;506
-22;462
-21;420
-20;380
-19;342
-18;306
-17;272
-16;240
-15;210
-14;182
-13;156
-12;132
-11;110
-10;90
-9;72
-8;56
-7;42
-6;30
-5;20
-4;12
-3;6
-2;2
-1;0
0;0
1;2
2;6
3;12
4;20
5;30
6;42
7;56
8;72
9;90
10;110
11;132
12;156
13;182
14;210
15;240
16;272
17;306
18;342
19;380
20;420
21;462
22;506
23;552
24;600
25;650
26;702
27;756
28;812
29;870
30;930
31;992
32;1056
33;1122
34;1190
35;1260
36;1332
37;1406
38;1482
39;1560
40;1640
41;1722
42;1806
43;1892
44;1980
45;2070
46;2162
47;2256
48;2352
49;2450
50;2550
